"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG18155","FBgn0029945","HuDis670","","",""
"CG1827","FBgn0033431","HuDis670","","",""
"CG18278","FBgn0033836","HuDis670","","",""
"CG1847","FBgn0030345","HuDis670","","",""
"CG1885","FBgn0030066","HuDis670","","",""
"CG1909","FBgn0039911","HuDis670","","",""
"CG2107","FBgn0035383","HuDis670","","",""
"CG2118","FBgn0039877","HuDis670","","",""
"CG2292","FBgn0033479","HuDis670","","",""
"CG2658","FBgn0024992","HuDis670","","",""
"CG2807","FBgn0031266","HuDis670","","",""
"CG2852","FBgn0034753","HuDis670","","",""
"CG30022","FBgn0050022","HuDis670","","",""
"CG30100","FBgn0050100","HuDis670","","",""
"CG3021","FBgn0040337","HuDis670","","",""
"CG30493","FBgn0050493","HuDis670","","",""
"CG30496","FBgn0050496","HuDis670","","",""
"CG31148","FBgn0051148","HuDis670","","",""
"CG3121","FBgn0034957","HuDis670","","",""
"CG31414","FBgn0051414","HuDis670","","",""
"CG3149","FBgn0027564","HuDis670","","",""
"CG31739","FBgn0051739","HuDis670","","",""
"CG31803","FBgn0051803","HuDis670","","",""
"CG31935","FBgn0051935","HuDis670","","",""
"CG32495","FBgn0052495","HuDis670","","",""
"CG3262","FBgn0032986","HuDis670","","",""
"CG3267","FBgn0042083","HuDis670","","",""
"CG3270","FBgn0033093","HuDis670","","",""
"CG32751","FBgn0052751","HuDis670","","",""
"CG33502","FBgn0053502","HuDis670","","",""
"CG33722","FBgn0064126","HuDis670","","",""
"CG3376","FBgn0034997","HuDis670","","",""
"CG3527","FBgn0029714","HuDis670","","",""
"CG3740","FBgn0023530","HuDis670","","",""
"CG3756","FBgn0031657","HuDis670","","",""
"CG3800","FBgn0034802","HuDis670","","",""
"CG3803","FBgn0034938","HuDis670","","",""
"CG3835","FBgn0023507","HuDis670","","",""
"CG3902","FBgn0036824","HuDis670","","",""
"CG3925","FBgn0037780","HuDis670","","",""
"CG4159","FBgn0038811","HuDis670","","",""
"CG4300","FBgn0036272","HuDis670","","",""
"CG4365","FBgn0037024","HuDis670","","",""
"CG44247","FBgn0265182","HuDis670","","",""
"CG44252","FBgn0265187","HuDis670","","",""
"CG44253","FBgn0265188","HuDis670","","",""
"CG4806","FBgn0260456","HuDis670","","",""
"CG4848","FBgn0037998","HuDis670","","",""
"CG4872","FBgn0030799","HuDis670","","",""
"CG4908","FBgn0032195","HuDis670","","",""
"CG5009","FBgn0027572","HuDis670","","",""
"CG5037","FBgn0032222","HuDis670","","",""
"CG5044","FBgn0038326","HuDis670","","",""
"CG5189","FBgn0034350","HuDis670","","",""
"CG5220","FBgn0038471","HuDis670","","",""
"CG5261","FBgn0031912","HuDis670","","",""
"CG5276","FBgn0037900","HuDis670","","",""
"CG5287","FBgn0032477","HuDis670","","",""
"CG5569","FBgn0034919","HuDis670","","",""
"CG5599","FBgn0030612","HuDis670","","",""
"CG5846","FBgn0032171","HuDis670","","",""
"CG5938","FBgn0046247","HuDis670","","",""
"CG6201","FBgn0032343","HuDis670","","",""
"CG6287","FBgn0032350","HuDis670","","",""
"CG6401","FBgn0034270","HuDis670","","",""
"CG6412","FBgn0032646","HuDis670","","",""
"CG6415","FBgn0032287","HuDis670","","",""
"CG6439","FBgn0038922","HuDis670","","",""
"CG6488","FBgn0032361","HuDis670","","",""
"CG6512","FBgn0036702","HuDis670","","",""
"CG6550","FBgn0034214","HuDis670","","",""
"CG6638","FBgn0035911","HuDis670","","",""
"CG6664","FBgn0036685","HuDis670","","",""
"CG6841","FBgn0036828","HuDis670","","",""
"CG6903","FBgn0029737","HuDis670","","",""
"CG7049","FBgn0035102","HuDis670","","",""
"CG7280","FBgn0030966","HuDis670","","",""
"CG7322","FBgn0030968","HuDis670","","",""
"CG7328","FBgn0036942","HuDis670","","",""
"CG7430","FBgn0036762","HuDis670","","",""
"CG7433","FBgn0036927","HuDis670","","",""
"CG7456","FBgn0032258","HuDis670","","",""
"CG7461","FBgn0034432","HuDis670","","",""
"CG7470","FBgn0037146","HuDis670","","",""
"CG7506","FBgn0035805","HuDis670","","",""
"CG7637","FBgn0033548","HuDis670","","",""
"CG7766","FBgn0030087","HuDis670","","",""
"CG7834","FBgn0039697","HuDis670","","",""
"CG7840","FBgn0032014","HuDis670","","",""
"CG8067","FBgn0033891","HuDis670","","",""
"CG8111","FBgn0035825","HuDis670","","",""
"CG8184","FBgn0030674","HuDis670","","",""
"CG8230","FBgn0027607","HuDis670","","",""
"CG8235","FBgn0033351","HuDis670","","",""
"CG8311","FBgn0034141","HuDis670","","",""
"CG8412","FBgn0037743","HuDis670","","",""
"CG8417","FBgn0037744","HuDis670","","",""
"CG8475","FBgn0031995","HuDis670","","",""
"CG8549","FBgn0035714","HuDis670","","",""
"CG8596","FBgn0035767","HuDis670","","",""
"CG8778","FBgn0033761","HuDis670","","",""
"CG8800","FBgn0033408","HuDis670","","",""
"CG8891","FBgn0031663","HuDis670","","",""
"CG8909","FBgn0030706","HuDis670","","",""
"CG9090","FBgn0034497","HuDis670","","",""
"CG9109","FBgn0031765","HuDis670","","",""
"CG9149","FBgn0035203","HuDis670","","",""
"CG9220","FBgn0030662","HuDis670","","",""
"CG9313","FBgn0034566","HuDis670","","",""
"CG9319","FBgn0032881","HuDis670","","",""
"CG9413","FBgn0030574","HuDis670","","",""
"CG9485","FBgn0034618","HuDis670","","",""
"CG9547","FBgn0031824","HuDis670","","",""
"CG9601","FBgn0037578","HuDis670","","",""
"CG9629","FBgn0036857","HuDis670","","",""
"CG9706","FBgn0036662","HuDis670","","",""
"CG9799","FBgn0038146","HuDis670","","",""
"CG9865","FBgn0034649","HuDis670","","",""
"CG9886","FBgn0031428","HuDis670","","",""
"ChAT","FBgn0000303","HuDis670","","",""
"cher","FBgn0014141","HuDis670","","",""
"CHMP2B","FBgn0035589","HuDis670","","",""
"CIA30","FBgn0039689","HuDis670","","",""
"cin","FBgn0000316","HuDis670","","",""
"ck","FBgn0000317","HuDis670","","",""
"ClC-a","FBgn0051116","HuDis670","","",""
"ClC-b","FBgn0033755","HuDis670","","",""
"cln3","FBgn0036756","HuDis670","","",""
"cN-IIIB","FBgn0034988","HuDis670","","",""
"Cog7","FBgn0051040","HuDis670","","",""
"colt","FBgn0019830","HuDis670","","",""
"Coprox","FBgn0021944","HuDis670","","",""
"Coq2","FBgn0037574","HuDis670","","",""
"COX6B","FBgn0031066","HuDis670","","",""
"Cpr","FBgn0015623","HuDis670","","",""
"CRAT","FBgn0037440","HuDis670","","",""
"CRMP","FBgn0023023","HuDis670","","",""
"csw","FBgn0000382","HuDis670","","",""
"Cul4","FBgn0033260","HuDis670","","",""
"cv-2","FBgn0000395","HuDis670","","",""
"CYLD","FBgn0032210","HuDis670","","",""
"Cyp4c3","FBgn0015032","HuDis670","","",""
"DAT","FBgn0034136","HuDis670","","",""
"Dcr-1","FBgn0039016","HuDis670","","",""
"Ddc","FBgn0000422","HuDis670","","",""
"Dhap-at","FBgn0040212","HuDis670","","",""
"Dhc64C","FBgn0261797","HuDis670","","",""
"Dhod","FBgn0000447","HuDis670","","",""
"Dhpr","FBgn0035964","HuDis670","","",""
"dia","FBgn0011202","HuDis670","","",""
"didum","FBgn0261397","HuDis670","","",""
"Dip-C","FBgn0000455","HuDis670","","",""
"DNA-ligI","FBgn0262619","HuDis670","","",""
"DNApol-alpha180","FBgn0259113","HuDis670","","",""
"DNApol-eta","FBgn0037141","HuDis670","","",""
"dnc","FBgn0000479","HuDis670","","",""
"dnk","FBgn0022338","HuDis670","","",""
"Drp1","FBgn0026479","HuDis670","","",""
"Dsor1","FBgn0010269","HuDis670","","",""
"Duox","FBgn0031464","HuDis670","","",""
"dup","FBgn0000996","HuDis670","","",""
"Dys","FBgn0260003","HuDis670","","",""
"E(z)","FBgn0000629","HuDis670","","",""
"EfTuM","FBgn0024556","HuDis670","","",""
"Ehbp1","FBgn0034180","HuDis670","","",""
"eIF2B-alpha","FBgn0039726","HuDis670","","",""
"eIF2B-beta","FBgn0024996","HuDis670","","",""
"eIF2B-delta","FBgn0034858","HuDis670","","",""
"eIF2B-epsilon","FBgn0023512","HuDis670","","",""
"eIF2B-gamma","FBgn0034029","HuDis670","","",""
"eIF4G","FBgn0023213","HuDis670","","",""
"Eip55E","FBgn0000566","HuDis670","","",""
"Elp1","FBgn0037926","HuDis670","","",""
"Eno","FBgn0000579","HuDis670","","",""
"Ercc1","FBgn0028434","HuDis670","","",""
"ergic53","FBgn0035909","HuDis670","","",""
"ERR","FBgn0035849","HuDis670","","",""
"Etf-QO","FBgn0033465","HuDis670","","",""
"Etl1","FBgn0032157","HuDis670","","",""
"Ext2","FBgn0029175","HuDis670","","",""
"Faa","FBgn0016013","HuDis670","","",""
"fab1","FBgn0028741","HuDis670","","",""
"Fancd2","FBgn0038827","HuDis670","","",""
"Fatp","FBgn0267828","HuDis670","","",""
"fbp","FBgn0032820","HuDis670","","",""
"Fcp1","FBgn0035026","HuDis670","","",""
"FeCH","FBgn0266268","HuDis670","","",""
"fne","FBgn0086675","HuDis670","","",""
"frc","FBgn0042641","HuDis670","","",""
"frtz","FBgn0086698","HuDis670","","",""
"fws","FBgn0024689","HuDis670","","",""
"Gad1","FBgn0004516","HuDis670","","",""
"Gale","FBgn0035147","HuDis670","","",""
"Galphaq","FBgn0004435","HuDis670","","",""
"Galt","FBgn0263200","HuDis670","","",""
"GC","FBgn0035245","HuDis670","","",""
"GC1","FBgn0260743","HuDis670","","",""
"Gclc","FBgn0040319","HuDis670","","",""
"Gclm","FBgn0046114","HuDis670","","",""
"GCS1","FBgn0030289","HuDis670","","",""
"GCS2beta","FBgn0032643","HuDis670","","",""
"Gdap1","FBgn0035587","HuDis670","","",""
"Gdh","FBgn0001098","HuDis670","","",""
"Gdi","FBgn0004868","HuDis670","","",""
"gig","FBgn0005198","HuDis670","","",""
"gkt","FBgn0260817","HuDis670","","",""
"Gl","FBgn0001108","HuDis670","","",""
"GlcAT-I","FBgn0066114","HuDis670","","",""
"GlyP","FBgn0004507","HuDis670","","",""
"GlyS","FBgn0266064","HuDis670","","",""
"Gnmt","FBgn0038074","HuDis670","","",""
"gny","FBgn0032234","HuDis670","","",""
"Golgin84","FBgn0039188","HuDis670","","",""
"Gpdh","FBgn0001128","HuDis670","","",""
"Gpo-1","FBgn0022160","HuDis670","","",""
"Graf","FBgn0030685","HuDis670","","",""
"Gs2","FBgn0001145","HuDis670","","",""
"GstZ1","FBgn0037696","HuDis670","","",""
"GstZ2","FBgn0037697","HuDis670","","",""
"gwl","FBgn0260399","HuDis670","","",""
"Gyk","FBgn0025592","HuDis670","","",""
"ham","FBgn0045852","HuDis670","","",""
"hay","FBgn0001179","HuDis670","","",""
"heix","FBgn0028375","HuDis670","","",""
"hgo","FBgn0040211","HuDis670","","",""
"hh","FBgn0004644","HuDis670","","",""
"Hip1","FBgn0036309","HuDis670","","",""
"Hmgcr","FBgn0263782","HuDis670","","",""
"Hmt-1","FBgn0038376","HuDis670","","",""
"Hn","FBgn0001208","HuDis670","","",""
"hop","FBgn0004864","HuDis670","","",""
"Hsp60","FBgn0015245","HuDis670","","",""
"HtrA2","FBgn0038233","HuDis670","","",""
"hts","FBgn0263391","HuDis670","","",""
"hyx","FBgn0037657","HuDis670","","",""
"ico","FBgn0263133","HuDis670","","",""
"ImpL3","FBgn0001258","HuDis670","","",""
"InR","FBgn0013984","HuDis670","","",""
"IntS6","FBgn0261383","HuDis670","","",""
"iPLA2-VIA","FBgn0036053","HuDis670","","",""
"IscU","FBgn0037637","HuDis670","","",""
"Itp-r83A","FBgn0010051","HuDis670","","",""
"Jheh1","FBgn0010053","HuDis670","","",""
"JhI-1","FBgn0028426","HuDis670","","",""
"kermit","FBgn0010504","HuDis670","","",""
"l(1)G0255","FBgn0028336","HuDis670","","",""
"l(1)G0334","FBgn0028325","HuDis670","","",""
"l(2)37Cc","FBgn0002031","HuDis670","","",""
"l(2)efl","FBgn0011296","HuDis670","","",""
"l(2)k14505","FBgn0021856","HuDis670","","",""
"l(2)not","FBgn0011297","HuDis670","","",""
"l(3)72Ab","FBgn0263599","HuDis670","","",""
"l(3)72Dn","FBgn0263605","HuDis670","","",""
"lace","FBgn0002524","HuDis670","","",""
"Lam","FBgn0002525","HuDis670","","",""
"LamC","FBgn0010397","HuDis670","","",""
"LanB1","FBgn0261800","HuDis670","","",""
"lap","FBgn0086372","HuDis670","","",""
"Las","FBgn0029158","HuDis670","","",""
"Lgr1","FBgn0016650","HuDis670","","",""
"Lgr3","FBgn0039354","HuDis670","","",""
"Lig4","FBgn0030506","HuDis670","","",""
"Lis-1","FBgn0015754","HuDis670","","",""
"lkb1","FBgn0038167","HuDis670","","",""
"LKR","FBgn0025687","HuDis670","","",""
"LManII","FBgn0027611","HuDis670","","",""
"lok","FBgn0019686","HuDis670","","",""
"LysP","FBgn0004429","HuDis670","","",""
"Mad1","FBgn0026326","HuDis670","","",""
"Mal-A5","FBgn0050359","HuDis670","","",""
"Mal-A8","FBgn0033297","HuDis670","","",""
"Mal-B1","FBgn0032381","HuDis670","","",""
"Marcal1","FBgn0031655","HuDis670","","",""
"Marf","FBgn0029870","HuDis670","","",""
"Max","FBgn0017578","HuDis670","","",""
"Mcm6","FBgn0025815","HuDis670","","",""
"Mdr50","FBgn0010241","HuDis670","","",""
"MED17","FBgn0038578","HuDis670","","",""
"MED23","FBgn0034795","HuDis670","","",""
"MED25","FBgn0038760","HuDis670","","",""
"mei-9","FBgn0002707","HuDis670","","",""
"Membrin","FBgn0260856","HuDis670","","",""
"Mer","FBgn0086384","HuDis670","","",""
"mew","FBgn0004456","HuDis670","","",""
"mfas","FBgn0260745","HuDis670","","",""
"Mfe2","FBgn0030731","HuDis670","","",""
"Mipp2","FBgn0026060","HuDis670","","",""
"Mlh1","FBgn0011659","HuDis670","","",""
"Mnn1","FBgn0031885","HuDis670","","",""
"Mpcp","FBgn0026409","HuDis670","","",""
"mre11","FBgn0020270","HuDis670","","",""
"mRpS22","FBgn0039555","HuDis670","","",""
"Msh6","FBgn0036486","HuDis670","","",""
"mtDNA-helicase","FBgn0032154","HuDis670","","",""
"mtm","FBgn0025742","HuDis670","","",""
"Mtp","FBgn0266369","HuDis670","","",""
"Mtpalpha","FBgn0028479","HuDis670","","",""
"Mulk","FBgn0260750","HuDis670","","",""
"Mvl","FBgn0011672","HuDis670","","",""
"nac","FBgn0265351","HuDis670","","",""
"nAChRalpha6","FBgn0032151","HuDis670","","",""
"Nc73EF","FBgn0010352","HuDis670","","",""
"nct","FBgn0039234","HuDis670","","",""
"ND-13A","FBgn0031684","HuDis670","","",""
"ND-18","FBgn0031021","HuDis670","","",""
"ND-23","FBgn0017567","HuDis670","","",""
"ND-24","FBgn0030853","HuDis670","","",""
"ND-30","FBgn0266582","HuDis670","","",""
"ND-39","FBgn0037001","HuDis670","","",""
"ND-42","FBgn0019957","HuDis670","","",""
"ND-49","FBgn0039909","HuDis670","","",""
"ND-51","FBgn0031771","HuDis670","","",""
"ND-75","FBgn0017566","HuDis670","","",""
"ND-B8","FBgn0040705","HuDis670","","",""
"nej","FBgn0261617","HuDis670","","",""
"Nep3","FBgn0031081","HuDis670","","",""
"Nf1","FBgn0015269","HuDis670","","",""
"NHP2","FBgn0029148","HuDis670","","",""
"ninaC","FBgn0002938","HuDis670","","",""
"Nipped-B","FBgn0026401","HuDis670","","",""
"nito","FBgn0027548","HuDis670","","",""
"Nop56","FBgn0038964","HuDis670","","",""
"Nop60B","FBgn0259937","HuDis670","","",""
"Npc1a","FBgn0024320","HuDis670","","",""
"Npc2a","FBgn0031381","HuDis670","","",""
"Nrk","FBgn0020391","HuDis670","","",""
"NT5E-2","FBgn0050104","HuDis670","","",""
"Nup62","FBgn0034118","HuDis670","","",""
"Oat","FBgn0022774","HuDis670","","",""
"Ocrl","FBgn0023508","HuDis670","","",""
"Odc1","FBgn0013307","HuDis670","","",""
"Ogg1","FBgn0027864","HuDis670","","",""
"okr","FBgn0002989","HuDis670","","",""
"olf186-F","FBgn0041585","HuDis670","","",""
"Opa1","FBgn0261276","HuDis670","","",""
"Orc1","FBgn0022772","HuDis670","","",""
"Orc4","FBgn0023181","HuDis670","","",""
"Orc6","FBgn0023180","HuDis670","","",""
"Oseg1","FBgn0265102","HuDis670","","",""
"Oseg4","FBgn0035264","HuDis670","","",""
"Oseg5","FBgn0032891","HuDis670","","",""
"Oseg6","FBgn0034452","HuDis670","","",""
"oxt","FBgn0015360","HuDis670","","",""
"P5CDh1","FBgn0037138","HuDis670","","",""
"Pabp2","FBgn0005648","HuDis670","","",""
"park","FBgn0041100","HuDis670","","",""
"PCB","FBgn0027580","HuDis670","","",""
"Pde8","FBgn0266377","HuDis670","","",""
"Pdh","FBgn0011693","HuDis670","","",""
"Pdp","FBgn0029958","HuDis670","","",""
"PEK","FBgn0037327","HuDis670","","",""
"pen-2","FBgn0053198","HuDis670","","",""
"Pepck","FBgn0003067","HuDis670","","",""
"Pex10","FBgn0035233","HuDis670","","",""
"Pex12","FBgn0031282","HuDis670","","",""
"Pex13","FBgn0033812","HuDis670","","",""
"Pex14","FBgn0037020","HuDis670","","",""
"Pex16","FBgn0037019","HuDis670","","",""
"Pex2","FBgn0035876","HuDis670","","",""
"Pex3","FBgn0036484","HuDis670","","",""
"Pex5","FBgn0023516","HuDis670","","",""
"Pex7","FBgn0035922","HuDis670","","",""
"Pfk","FBgn0003071","HuDis670","","",""
"Pgi","FBgn0003074","HuDis670","","",""
"Pgk","FBgn0250906","HuDis670","","",""
"Pglym78","FBgn0014869","HuDis670","","",""
"Pglym87","FBgn0011270","HuDis670","","",""
"Pgm","FBgn0003076","HuDis670","","",""
"phl","FBgn0003079","HuDis670","","",""
"pic","FBgn0260962","HuDis670","","",""
"pins","FBgn0040080","HuDis670","","",""
"Pka-R1","FBgn0259243","HuDis670","","",""
"pkaap","FBgn0040079","HuDis670","","",""
"Pkc53E","FBgn0003091","HuDis670","","",""
"Plc21C","FBgn0004611","HuDis670","","",""
"ple","FBgn0005626","HuDis670","","",""
"Plod","FBgn0036147","HuDis670","","",""
"Pms2","FBgn0011660","HuDis670","","",""
"por","FBgn0004957","HuDis670","","",""
"ppl","FBgn0027945","HuDis670","","",""
"Ppox","FBgn0020018","HuDis670","","",""
"Ppt1","FBgn0030057","HuDis670","","",""
"pr","FBgn0003141","HuDis670","","",""
"Prestin","FBgn0036770","HuDis670","","",""
"Prp3","FBgn0036915","HuDis670","","",""
"Prp31","FBgn0036487","HuDis670","","",""
"Prp8","FBgn0033688","HuDis670","","",""
"Psn","FBgn0019947","HuDis670","","",""
"ptc","FBgn0003892","HuDis670","","",""
"Pten","FBgn0026379","HuDis670","","",""
"Pu","FBgn0003162","HuDis670","","",""
"pug","FBgn0020385","HuDis670","","",""
"pyd3","FBgn0037513","HuDis670","","",""
"qless","FBgn0051005","HuDis670","","",""
"r-l","FBgn0003257","HuDis670","","",""
"Rab23","FBgn0037364","HuDis670","","",""
"Rab27","FBgn0025382","HuDis670","","",""
"Rab3-GAP","FBgn0027505","HuDis670","","",""
"Rab7","FBgn0015795","HuDis670","","",""
"ras","FBgn0003204","HuDis670","","",""
"Ras85D","FBgn0003205","HuDis670","","",""
"Rep","FBgn0026378","HuDis670","","",""
"RhoGAP5A","FBgn0029778","HuDis670","","",""
"Rop","FBgn0004574","HuDis670","","",""
"RpIII128","FBgn0004463","HuDis670","","",""
"RpL11","FBgn0013325","HuDis670","","",""
"RpL35A","FBgn0037328","HuDis670","","",""
"RpS10b","FBgn0261593","HuDis670","","",""
"RpS17","FBgn0005533","HuDis670","","",""
"RpS19b","FBgn0039129","HuDis670","","",""
"RpS26","FBgn0261597","HuDis670","","",""
"RpS7","FBgn0039757","HuDis670","","",""
"rt","FBgn0003292","HuDis670","","",""
"ry","FBgn0003308","HuDis670","","",""
"RyR","FBgn0011286","HuDis670","","",""
"S2P","FBgn0033656","HuDis670","","",""
"S6kII","FBgn0262866","HuDis670","","",""
"Sans","FBgn0033785","HuDis670","","",""
"Sar1","FBgn0038947","HuDis670","","",""
"Sardh","FBgn0034276","HuDis670","","",""
"sax","FBgn0003317","HuDis670","","",""
"Sbf","FBgn0025802","HuDis670","","",""
"Sc2","FBgn0035471","HuDis670","","",""
"Scgalpha","FBgn0032013","HuDis670","","",""
"Scgdelta","FBgn0025391","HuDis670","","",""
"SCOT","FBgn0035298","HuDis670","","",""
"Scox","FBgn0262467","HuDis670","","",""
"ScpX","FBgn0015808","HuDis670","","",""
"Scsalpha","FBgn0004888","HuDis670","","",""
"scu","FBgn0021765","HuDis670","","",""
"sd","FBgn0003345","HuDis670","","",""
"SdhA","FBgn0261439","HuDis670","","",""
"SdhB","FBgn0014028","HuDis670","","",""
"SdhC","FBgn0037873","HuDis670","","",""
"Sec23","FBgn0262125","HuDis670","","",""
"Sec63","FBgn0035771","HuDis670","","",""
"SelR","FBgn0267376","HuDis670","","",""
"Ser","FBgn0004197","HuDis670","","",""
"sesB","FBgn0003360","HuDis670","","",""
"sgll","FBgn0051472","HuDis670","","",""
"Sh","FBgn0003380","HuDis670","","",""
"shrb","FBgn0086656","HuDis670","","",""
"sicily","FBgn0030352","HuDis670","","",""
"skap","FBgn0037643","HuDis670","","",""
"sky","FBgn0032901","HuDis670","","",""
"slgA","FBgn0003423","HuDis670","","",""
"slo","FBgn0003429","HuDis670","","",""
