"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Ir7b","FBgn0029965","","Y","",""
"Ir7c","FBgn0029966","","Y","",""
"Ir7d","FBgn0259190","","Y","",""
"Ir7e","FBgn0259189","","Y","",""
"Ir7f","FBgn0259188","","Y","",""
"Ir7g","FBgn0029968","","Y","",""
"Ir84a","FBgn0037501","","Y","",""
"Ir85a","FBgn0037630","","Y","",""
"Ir87a","FBgn0038153","","Y","",""
"Ir8a","FBgn0052704","","Y","",""
"Ir92a","FBgn0038789","","Y","",""
"Ir93a","FBgn0259215","","Y","",""
"Ir94a","FBgn0051164","","Y","",""
"Ir94b","FBgn0051424","","Y","",""
"Ir94c","FBgn0051423","","Y","",""
"Ir94d","FBgn0259193","","Y","",""
"Ir94e","FBgn0259194","","Y","",""
"Ir94f","FBgn0051225","","Y","",""
"Ir94g","FBgn0039079","","Y","",""
"Ir94h","FBgn0039080","","Y","",""
"Irk1","FBgn0265042","","Y","",""
"Irk2","FBgn0039081","","Y","",""
"Irk3","FBgn0032706","","Y","",""
"Itp-r83A","FBgn0010051","","Y","",""
"KaiR1D","FBgn0038837","","Y","",""
"KCNQ","FBgn0033494","","Y","",""
"Lcch3","FBgn0010240","","Y","",""
"MCU","FBgn0042185","","Y","",""
"MICU1","FBgn0031893","","Y","",""
"Mid1","FBgn0053988","","Y","",""
"na","FBgn0002917","","Y","",""
"Nach","FBgn0024319","","Y","",""
"nAChRalpha1","FBgn0000036","","Y","",""
"nAChRalpha2","FBgn0000039","","Y","",""
"nAChRalpha3","FBgn0015519","","Y","",""
"nAChRalpha4","FBgn0266347","","Y","",""
"nAChRalpha5","FBgn0028875","","Y","",""
"nAChRalpha6","FBgn0032151","","Y","",""
"nAChRalpha7","FBgn0086778","","Y","",""
"nAChRbeta1","FBgn0000038","","Y","",""
"nAChRbeta2","FBgn0004118","","Y","",""
"nAChRbeta3","FBgn0031261","","Y","",""
"NaCP60E","FBgn0085434","","Y","",""
"nan","FBgn0036414","","Y","",""
"Nckx30C","FBgn0028704","","Y","",""
"Nmdar1","FBgn0010399","","Y","",""
"Nmdar2","FBgn0053513","","Y","",""
"nompC","FBgn0016920","","Y","",""
"NtR","FBgn0029147","","Y","",""
"ogre","FBgn0004646","","Y","",""
"olf186-F","FBgn0041585","","Y","",""
"Or10a","FBgn0030298","","Y","",""
"Or13a","FBgn0030715","","Y","",""
"Or19a","FBgn0041626","","Y","",""
"Or19b","FBgn0062565","","Y","",""
"Or1a","FBgn0029521","","Y","",""
"Or22a","FBgn0026398","","Y","",""
"Or22b","FBgn0026397","","Y","",""
"Or22c","FBgn0026396","","Y","",""
"Or23a","FBgn0026395","","Y","",""
"Or24a","FBgn0026394","","Y","",""
"Or2a","FBgn0023523","","Y","",""
"Or30a","FBgn0032096","","Y","",""
"Or33a","FBgn0026392","","Y","",""
"Or33b","FBgn0026391","","Y","",""
"Or33c","FBgn0026390","","Y","",""
"Or35a","FBgn0028946","","Y","",""
"Or42a","FBgn0033041","","Y","",""
"Or42b","FBgn0033043","","Y","",""
"Or43a","FBgn0026389","","Y","",""
"Or43b","FBgn0026393","","Y","",""
"Or45a","FBgn0033404","","Y","",""
"Or45b","FBgn0033422","","Y","",""
"Or46a","FBgn0026388","","Y","",""
"Or47a","FBgn0026386","","Y","",""
"Or47b","FBgn0026385","","Y","",""
"Or49a","FBgn0033727","","Y","",""
"Or49b","FBgn0028963","","Y","",""
"Or56a","FBgn0034473","","Y","",""
"Or59a","FBgn0026384","","Y","",""
"Or59b","FBgn0034865","","Y","",""
"Or59c","FBgn0034866","","Y","",""
"Or63a","FBgn0035382","","Y","",""
"Or65a","FBgn0041625","","Y","",""
"Or65b","FBgn0041624","","Y","",""
"Or65c","FBgn0041623","","Y","",""
"Or67a","FBgn0036009","","Y","",""
"Or67b","FBgn0036019","","Y","",""
"Or67c","FBgn0036078","","Y","",""
"Or67d","FBgn0036080","","Y","",""
"Or69a","FBgn0041622","","Y","",""
"Or71a","FBgn0036474","","Y","",""
"Or74a","FBgn0036709","","Y","",""
"Or7a","FBgn0030016","","Y","",""
"Or82a","FBgn0041621","","Y","",""
"Or83a","FBgn0037322","","Y","",""
"Or83c","FBgn0037399","","Y","",""
"Or85a","FBgn0037576","","Y","",""
"Or85b","FBgn0037590","","Y","",""
"Or85c","FBgn0037591","","Y","",""
"Or85d","FBgn0037594","","Y","",""
"Or85e","FBgn0026399","","Y","",""
"Or85f","FBgn0037685","","Y","",""
"Or88a","FBgn0038203","","Y","",""
"Or92a","FBgn0038798","","Y","",""
"Or94a","FBgn0039033","","Y","",""
"Or94b","FBgn0039034","","Y","",""
"Or98a","FBgn0039551","","Y","",""
"Or98b","FBgn0039582","","Y","",""
"Or9a","FBgn0030204","","Y","",""
"Orco","FBgn0037324","","Y","",""
"Ork1","FBgn0017561","","Y","",""
"ort","FBgn0003011","","Y","",""
"pain","FBgn0060296","","Y","",""
"para","FBgn0285944","","Y","",""
"pHCl-1","FBgn0264908","","Y","",""
"pHCl-2","FBgn0039840","","Y","",""
"Piezo","FBgn0264953","","Y","",""
"Pkd2","FBgn0041195","","Y","",""
"pns","FBgn0035229","","Y","",""
"porin","FBgn0004363","","Y","",""
"Porin2","FBgn0069354","","Y","",""
"ppk","FBgn0020258","","Y","",""
"ppk10","FBgn0065110","","Y","",""
"ppk11","FBgn0065109","","Y","",""
"ppk12","FBgn0034730","","Y","",""
"ppk13","FBgn0053508","","Y","",""
"ppk14","FBgn0031803","","Y","",""
"ppk15","FBgn0039424","","Y","",""
"ppk16","FBgn0065108","","Y","",""
"ppk17","FBgn0032602","","Y","",""
"ppk18","FBgn0265001","","Y","",""
"ppk19","FBgn0039679","","Y","",""
"ppk20","FBgn0039676","","Y","",""
"ppk21","FBgn0039675","","Y","",""
"ppk22","FBgn0051105","","Y","",""
"ppk23","FBgn0030844","","Y","",""
"ppk24","FBgn0039839","","Y","",""
"ppk25","FBgn0053349","","Y","",""
"ppk26","FBgn0035785","","Y","",""
"ppk27","FBgn0035458","","Y","",""
"ppk28","FBgn0030795","","Y","",""
"ppk29","FBgn0034965","","Y","",""
"ppk3","FBgn0050181","","Y","",""
"ppk30","FBgn0039677","","Y","",""
"ppk31","FBgn0051065","","Y","",""
"ppk5","FBgn0053289","","Y","",""
"ppk6","FBgn0034489","","Y","",""
"ppk7","FBgn0031802","","Y","",""
"ppk8","FBgn0052792","","Y","",""
"ppk9","FBgn0085398","","Y","",""
"Prestin","FBgn0036770","","Y","",""
"Prip","FBgn0033635","","Y","",""
"pyx","FBgn0035113","","Y","",""
"Pzl","FBgn0267430","","Y","",""
"qvr","FBgn0260499","","Y","",""
"RAF2","FBgn0036624","","Y","",""
"rdgA","FBgn0261549","","Y","",""
"Rdl","FBgn0004244","","Y","",""
"Rh50","FBgn0028699","","Y","",""
"rpk","FBgn0022981","","Y","",""
"RyR","FBgn0011286","","Y","",""
"sand","FBgn0033257","","Y","",""
"sei","FBgn0003353","","Y","",""
"SerT","FBgn0010414","","Y","",""
"Sh","FBgn0003380","","Y","",""
"Shab","FBgn0262593","","Y","",""
"shakB","FBgn0085387","","Y","",""
"Shal","FBgn0005564","","Y","",""
"Shaw","FBgn0003386","","Y","",""
"Shawl","FBgn0085395","","Y","",""
"SK","FBgn0029761","","Y","",""
"slo","FBgn0003429","","Y","",""
"SLO2","FBgn0261698","","Y","",""
"stg1","FBgn0064123","","Y","",""
"Stim","FBgn0045073","","Y","",""
"stj","FBgn0261041","","Y","",""
"subdued","FBgn0038721","","Y","",""
"Task6","FBgn0038165","","Y","",""
"Task7","FBgn0037690","","Y","",""
"Teh1","FBgn0037766","","Y","",""
"Teh2","FBgn0035505","","Y","",""
"Teh3","FBgn0040697","","Y","",""
"Teh4","FBgn0035504","","Y","",""
"THADA","FBgn0031077","","Y","",""
"tipE","FBgn0003710","","Y","",""
"trp","FBgn0003861","","Y","",""
"Trp1","FBgn0011584","","Y","",""
"TrpA1","FBgn0035934","","Y","",""
"Trpgamma","FBgn0032593","","Y","",""
"trpl","FBgn0005614","","Y","",""
"Trpm","FBgn0265194","","Y","",""
"Trpml","FBgn0262516","","Y","",""
"tty","FBgn0015558","","Y","",""
"unc80","FBgn0039536","","Y","",""
"wtrw","FBgn0260005","","Y","",""
"zpg","FBgn0024177","","Y","",""
"zyd","FBgn0265767","","Y","",""
